% File Generated: 15-May-2025 02:45:57
% Dataset Collection: World Monthly Surface Station Climatology
% Type: TAVG - Monthly
% Version: LATEST
% Dataset Hash: 6985dc3e7a9ae37791a218b0fa98fe6b
% 
% ------------------------------------
% 
% This file is a plain text export of a portion of the temperature data contained 
% in Berkeley Earth Surface Temperature Analysis.
% 
% The associated dataset name is shown above, while this file should have the 
% name
% 
% 	site_summary.txt
% 
% For general information about this data product, please refer to the associated 
% data set readme file: README.txt
% 
% The current file contains a brief summary of the geolocation data for stations 
% appearing in this dataset.  Information is presented in tab delimited columnar 
% format.  Primary temperature data, secondary data such as quality control 
% flags, and other metadata can be found in other files in the same directory and 
% should be distributed together.
% 
% In addition, the files:
% 
% 	site_detail.txt
% 	site_complete_detail.txt
% 
% Provide additional information detail regarding each site and may be used in 
% place of this file.  The current file is meant as a simple summary for user 
% convenience and only provides basic geolocation info.
% 
% The columns contained in this file are as follows:
% 
% 	Station ID: A unique integer identifying each station.
% 
% 	Latitude: The present day latitude of the station in degrees and decimal 
% fraction of a degree.  Latitudes run from -90 to +90, where negative numbers 
% indicate positions in the southern hemisphere.
% 
% 	Longitude: The present day longitude of the station in degrees and decimal 
% fraction of a degree.  Longitudes run from -180 to +180, where negative numbers 
% indicate positions in the western hemisphere.
% 
% 	Elevation: The reported elevation of the station in meters above mean sea 
% level.
% 
% 
% Note that these locations reflect present station position only.  Information 
% on historical site locations, if available, is provided in the file 
% "site_complete_detail.txt".  Information on the state name, country of 
% residence, various identification, and other station metadata can be found in 
% "site_detail.txt" or "site_complete_detail.txt".
% 
% 
% ------------------------------------
% Station ID, Latitude, Longitude, Elevation (m)
% 
47498	 -83.2000	 174.5000	  60.00
47499	 -83.1000	 174.2000	  60.00
47500	 -82.6000	-174.3000	  55.00
47501	 -82.5000	-174.5000	  55.00
47502	 -80.4000	 -44.4000	 105.00
47503	 -80.0000	-179.0000	  55.00
47504	 -80.0000	-178.6000	  55.00
47505	 -80.0000	 165.0000	  75.00
47506	 -80.0000	 165.0000	  75.00
47507	 -80.0000	 165.1000	  75.00
47508	 -79.9000	 169.8000	  60.00
47509	 -79.9000	 170.0000	  60.00
47510	 -78.8000	 166.9000	  66.00
47511	 -78.5000	 168.4000	  50.00
47512	 -78.5000	 170.2000	  49.00
47513	 -78.4000	-173.4000	  18.00
47514	 -78.3000	-172.5000	  42.00
47515	 -78.2000	-172.5000	  42.00
47516	 -78.2000	-161.9000	  45.00
47517	 -78.0000	 166.5000	  10.00
47518	 -78.0000	 168.2000	  25.00
47519	 -78.0000	 170.8000	  44.00
47520	 -77.9500	 -38.6500	  32.00
47521	 -77.9000	 168.2000	  30.00
47522	 -77.9000	 170.8000	  45.00
47523	 -77.8000	 167.7000	  44.00
47524	 -77.6000	 170.1000	  27.00
47525	 -76.2000	 168.7000	 274.00
47526	 -76.1000	 168.4000	 274.00
47527	 -75.9000	 -59.2000	  59.00
47528	 -75.6000	 -25.5000	  30.00
47529	 -74.7500	 136.8500	 121.00
47530	 -70.9000	  69.9000	  84.00
47531	 -70.8500	  -3.7500	 574.00
47532	 -70.7000	  -8.3000	  42.00
47533	 -68.6000	  78.0000	  23.00
47534	 -67.0000	 -61.5000	  45.00
47535	 -66.9000	 -60.5000	  50.00
47536	 -65.0000	 -60.1000	  32.00
